Date;USDMXN;USDJPY;GBPUSD;EURUSD;USDCHF;USDCAD
2004.12.24;-0,00378;0,00097;-0,00104;0,00192;0,00087;-0,00439
2004.12.27;0,00405;-0,00736;0,00675;0,00633;-0,00834;-0,00769
2004.12.28;0,00743;0,00291;-0,00400;-0,00220;0,00026;-0,00156
2004.12.29;0,00098;0,00724;-0,00483;0,00095;-0,00106;-0,00610
2004.12.30;-0,00751;-0,00996;0,00307;0,00155;-0,00026;-0,00414
2004.12.31;-0,00270;-0,00389;-0,00209;-0,00464;0,00624;-0,00249
2005.01.03;0,00745;0,00224;-0,00794;-0,00703;0,00568;0,00556
2005.01.04;0,01402;0,01545;-0,01110;-0,01406;0,01780;0,01103
2005.01.05;-0,00150;-0,00394;0,00102;-0,00015;-0,00060;0,00262
2005.01.06;0,00247;0,00919;-0,00480;-0,00733;0,00607;0,00886
2005.01.07;-0,00991;0,00000;-0,00277;-0,00930;0,00857;-0,00324
2005.01.10;-0,00303;-0,00689;0,00300;0,00374;-0,00398;-0,00865
2005.01.11;-0,00313;-0,00723;0,00090;0,00054;0,00254;-0,00156
2005.01.12;-0,00260;-0,00952;0,00643;0,01054;-0,01260;-0,01438
2005.01.13;0,00385;0,00020;-0,00515;-0,00339;0,00385;0,00058
2005.01.14;-0,00036;-0,00470;-0,00555;-0,00852;0,00595;0,00927
2005.01.17;0,00152;0,00274;-0,00714;-0,00366;0,00457;0,00419
2005.01.18;0,00205;0,00000;0,00324;-0,00254;0,00068;0,00450
2005.01.19;-0,00071;0,00634;0,00407;-0,00114;-0,00017;0,00400
2005.01.20;0,00489;0,00446;-0,00017;-0,00309;0,00429;0,00366
2005.01.21;-0,00347;-0,00738;0,00352;0,00278;-0,00404;-0,01380
2005.01.24;0,00009;-0,00029;0,00090;0,00307;-0,00034;0,00607
2005.01.25;0,00320;0,01394;-0,00779;-0,00523;0,00706;0,00903
2005.01.26;-0,00338;-0,00917;0,00950;0,00822;-0,00918;-0,00162
2005.01.27;0,00213;-0,00214;0,00472;-0,00283;0,00152;0,00364
2005.01.28;-0,00187;-0,00117;-0,00117;0,00030;0,00101;0,00048
2005.01.31;-0,00741;0,00843;-0,00243;0,00053;0,00194;0,00178
2005.02.01;-0,00009;0,00039;-0,00047;-0,00099;0,00244;-0,00680
2005.02.02;-0,00278;0,00019;0,00073;-0,00053;0,00193;0,00470
2005.02.03;0,00269;0,00769;-0,00122;-0,00462;0,00793;0,00226
2005.02.04;-0,00377;-0,00403;-0,00484;-0,00883;0,00886;0,00707
2005.02.07;0,00386;0,00747;-0,00819;-0,00733;0,00870;0,00471
2005.02.08;0,00287;0,00845;-0,00221;0,00046;-0,00229;-0,00511
2005.02.09;-0,00466;-0,00114;0,00284;0,00336;-0,00377;-0,00096
2005.02.10;0,00108;0,00218;0,00479;0,00491;-0,00743;-0,00442
2005.02.11;-0,00180;-0,00066;0,00095;-0,00148;0,00174;-0,00646
2005.02.14;0,00233;-0,00617;0,00920;0,00899;-0,00964;0,00000
2005.02.15;-0,00009;-0,00525;0,00429;0,00338;-0,00737;-0,00252
2005.02.16;-0,00215;0,00886;-0,00588;0,00047;-0,00093;0,00462
2005.02.17;-0,00477;0,00000;0,00573;0,00398;-0,00354;-0,00665
2005.02.18;0,00469;0,00142;-0,00027;-0,00046;-0,00051;0,00520
2005.02.21;-0,00640;-0,00180;0,00121;-0,00038;-0,00042;-0,00073
2005.02.22;0,00072;-0,01154;0,00756;0,01497;-0,02050;-0,00650
2005.02.23;0,00072;0,00784;-0,00252;-0,00438;0,00456;0,01811
2005.02.24;0,00289;0,00427;0,00057;-0,00152;0,00506;-0,00619
2005.02.25;-0,00225;-0,00247;0,00633;0,00477;-0,00678;-0,00048
2005.02.28;0,00099;-0,00677;-0,00021;-0,00220;0,00155;-0,00461
2005.03.01;0,00117;-0,00077;-0,00027;-0,00342;0,00275;0,00525
2005.03.02;-0,00334;0,00306;-0,00291;-0,00274;0,00564;-0,00210
2005.03.03;0,00343;0,00495;-0,00325;-0,00228;0,00637;0,00427
2005.03.04;-0,00832;-0,00476;0,00856;0,01070;-0,01081;-0,00962
2005.03.07;0,00036;0,00286;-0,00438;-0,00189;0,00504;-0,00244
2005.03.08;-0,00510;-0,00496;0,00713;0,00979;-0,01165;-0,01344
2005.03.09;0,00292;-0,00537;-0,00306;0,00187;-0,00043;-0,00488
2005.03.10;0,00318;-0,00077;0,00058;0,00455;-0,00666;-0,00316
2005.03.11;0,00281;0,00144;0,00135;0,00260;-0,00295;0,00257
2005.03.14;0,00811;0,00813;-0,00657;-0,00804;0,00918;0,00157
2005.03.15;0,00206;-0,00372;-0,00031;-0,00412;0,00473;-0,00017
2005.03.16;0,00482;-0,00335;0,00733;0,00755;-0,01061;-0,00373
2005.03.17;-0,00335;0,00326;-0,00110;-0,00238;0,00390;-0,00150
2005.03.18;-0,00197;0,00172;-0,00123;-0,00427;0,00534;-0,00058
2005.03.21;0,00696;0,00476;-0,01405;-0,01216;0,01306;0,00846
2005.03.22;-0,00067;0,00370;-0,00550;-0,00640;0,00853;-0,00116
2005.03.23;0,00267;0,00293;-0,00798;-0,00645;0,00579;0,00520
